
state,Survey,Area,Population And Household Profile - Sex Ratio At Birth For Children Born In The Last Five Years (Females Per 1000 Males),Population And Household Profile - Children Under Age 5 Years Whose Birth Was Registered (%),Child Feeding Practices And Nutritional Status Of Children - Children Under 5 Years Who Are Stunted (Height-For-Age) (%),Child Feeding Practices And Nutritional Status Of Children - Children Under 5 Years Who Are Wasted (Weight-For-Height) (%),Child Feeding Practices And Nutritional Status Of Children - Children Under 5 Years Who Are Severely Wasted (Weight-For-Height) (%),Child Feeding Practices And Nutritional Status Of Children - Children Under 5 Years Who Are Underweight (Weight-For-Age) (%),Child Feeding Practices And Nutritional Status Of Children - Children Under Age 3 Years Breastfed Within One Hour Of Birth (%),Child Feeding Practices And Nutritional Status Of Children - Children Under Age 6 Months Exclusively Breastfed (%),Child Feeding Practices And Nutritional Status Of Children - Breastfeeding Children Age 6-23 Months Receiving An Adequate Diet (%,Child Feeding Practices And Nutritional Status Of Children - Non-Breastfeeding Children Age 6-23 Months Receiving An Adequate Diet (%,Child Feeding Practices And Nutritional Status Of Children - Children Age 6-8 Months Receiving Solid Or Semi-Solid Food And Breastmilk (%),Child Feeding Practices And Nutritional Status Of Children - Total Children Age 6-23 Months Receiving An Adequate Diet (%
India,NFHS-4,Total,919,79.7,38.4,21,7.5,35.7,41.6,54.9,8.7,14.3,42.7,9.6
India,NFHS-4,Rural,927,76.1,41.2,21.5,7.4,38.3,41.1,56,8.2,12.7,39.9,8.8
India,NFHS-4,Urban,899,88.8,31,20,7.5,29.1,42.8,52.1,10.1,16.9,50.1,11.6
India,NFHS-3,Total,914,41.2,48,19.8,6.4,42.5,23.4,46.4,NA,NA,52.6,NA
Andhra Pradesh,NFHS-4,Total,914,82.7,31.4,17.2,4.5,31.9,40.1,70.2,6.5,11.9,56.1,7.6
Andhra Pradesh,NFHS-4,Rural,880,79.9,32.5,17.8,4.4,33.1,38.8,71.1,6.3,11,50.6,7.1
Andhra Pradesh,NFHS-4,Urban,1010,90.1,28.3,15.5,4.8,28.4,43.6,67,7.3,13.5,72.8,9
Andhra Pradesh,NFHS-3,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Assam,NFHS-4,Total,929,94.2,36.4,17,6.2,29.8,64.4,63.5,8.7,10.8,49.9,8.9
Assam,NFHS-4,Rural,945,93.8,38,17.5,6.4,30.8,64.8,63.1,8.6,8.3,50.5,8.5
